Unnamed: 0,Site,Publication,Period,Lower_ context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude
15,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Camulodunum 184/Dr 43,Aegean,44.0,"I-II AD,",-25,250,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
16,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Aegean/Oriental,Aegean/Oriental,19.0,"I-II AD,",1,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
17,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Forlimpopoli,Adriatic Italy,21.0,"I-II AD,",-25,300,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
18,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 20,Baetica,60.0,"I-II AD,",1,300,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
19,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,"Gauloise 2, 3, 5",Gaul,61.0,"I-II AD,",-40,125,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
20,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,collo ad imbuto,Adriatic Italy,71.0,"I-II AD,",1,250,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596
21,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,AfricanaI,Africa,12.0,,150,400,https://pleiades.stoa.org/places/383564,44.700835,8.035244
22,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Aegean,Aegean,3.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
23,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,orlo ad anello,Gaul,11.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
24,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,MR18/Dr 24,Pergamon,3.0,,1,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244
25,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Agora F65-66,Anatolia,1.0,,-50,400,https://pleiades.stoa.org/places/383564,44.700835,8.035244
26,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,AC1,Crete,3.0,,1,350,https://pleiades.stoa.org/places/383564,44.700835,8.035244
27,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 43_1,Crete,4.0,,1,250,https://pleiades.stoa.org/places/383564,44.700835,8.035244
28,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Camulodunum 184,Rhodes,57.0,,-25,150,https://pleiades.stoa.org/places/383564,44.700835,8.035244
29,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Gauloise,Gaul,40.0,,-30,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244
30,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 7-11,Gaul,8.0,,-30,96,https://pleiades.stoa.org/places/383564,44.700835,8.035244
31,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Gauloise 5,Gaul,10.0,,50,125,https://pleiades.stoa.org/places/383564,44.700835,8.035244
32,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Gauloise 4,Gaul,5.0,,50,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244
33,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,orlo a doppia inflessione esterna,unknown,13.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
34,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 20,Baetica,61.0,,1,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244
35,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 7-11 ,Baetica,50.0,,-30,96,https://pleiades.stoa.org/places/383564,44.700835,8.035244
36,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Haltern 70,Baetica,1.0,,-80,192,https://pleiades.stoa.org/places/383564,44.700835,8.035244
37,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5 ,unknown,33.0,,-100,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
38,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5 ,Aegean,113.0,,-100,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
39,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5_2,Gaul,16.0,,-30,100,https://pleiades.stoa.org/places/383564,44.700835,8.035244
40,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5_1,Spain,43.0,,-25,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
41,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5 ,Tyrrhenian Italy,15.0,,-70,225,https://pleiades.stoa.org/places/383564,44.700835,8.035244
42,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Forlimpopoli,Adriatic Italy,18.0,,-25,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244
43,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,per olive,unknown,2.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244
44,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 6A/6B,Adriatic Italy,144.0,,-25,150,https://pleiades.stoa.org/places/383564,44.700835,8.035244
45,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,collo ad imbuto,Adriatic Italy,73.0,,1,250,https://pleiades.stoa.org/places/383564,44.700835,8.035244
46,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 6B,Adriatic Italy,149.0,,1,150,https://pleiades.stoa.org/places/383564,44.700835,8.035244
47,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 6A,Adriatic Italy,35.0,,-25,50,https://pleiades.stoa.org/places/383564,44.700835,8.035244
48,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",LR,-150,-1,Dr 1,Tyrrhenian Italy,5.0,,-150,-50,https://pleiades.stoa.org/places/383564,44.700835,8.035244
49,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",LR/EI,-100,50,Lamb.2,Adriatic Italy,2.0,,-200,-25,https://pleiades.stoa.org/places/383564,44.700835,8.035244
50,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 6A,Adriatic Italy,175.0,,-25,50,https://pleiades.stoa.org/places/197110,45.956108,18.683919
51,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,31.0,,-70,225,https://pleiades.stoa.org/places/197110,45.956108,18.683919
52,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Rhodian? ,Aegean?,8.0,,-25,150,https://pleiades.stoa.org/places/197110,45.956108,18.683919
53,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Camulodunum 184,Aegean,17.0,,-25,150,https://pleiades.stoa.org/places/197110,45.956108,18.683919
54,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 43_1,Aegean,23.0,,1,250,https://pleiades.stoa.org/places/197110,45.956108,18.683919
55,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Aegean,Aegean,3.0,,1,200,https://pleiades.stoa.org/places/197110,45.956108,18.683919
56,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Agora G199/Schoene-Mau 27/28,Cyprus/Cilicia,2.0,,79,310,https://pleiades.stoa.org/places/197110,45.956108,18.683919
57,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Gauloise 4,Gaul,1.0,,50,300,https://pleiades.stoa.org/places/197110,45.956108,18.683919
58,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Adriatic_1,Adriatic Italy,62.0,,100,200,https://pleiades.stoa.org/places/197110,45.956108,18.683919
59,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Forlimpopoli,Adriatic Italy,16.0,,-25,300,https://pleiades.stoa.org/places/197110,45.956108,18.683919
60,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 6B,Adriatic Italy,197.0,,1,150,https://pleiades.stoa.org/places/197110,45.956108,18.683919
61,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 7-11,Baetica,14.0,,-30,96,https://pleiades.stoa.org/places/197110,45.956108,18.683919
62,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 20,Baetica,1.0,,1,300,https://pleiades.stoa.org/places/197110,45.956108,18.683919
63,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 25,S Italy/Eastern Mediterranean,9.0,,-25,100,https://pleiades.stoa.org/places/197110,45.956108,18.683919
64,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,collo ad imbuto,Adriatic Italy,9.0,,1,250,https://pleiades.stoa.org/places/197110,45.956108,18.683919
65,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Brindisi,Adriatic Italy,8.0,,-125,-25,https://pleiades.stoa.org/places/197110,45.956108,18.683919
66,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,North-Italian,North-Italy,1.0,,1,200,https://pleiades.stoa.org/places/197110,45.956108,18.683919
67,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Schörgendorfer 558,N Adriatic Italy,3.0,,1,200,https://pleiades.stoa.org/places/197110,45.956108,18.683919
68,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI/LI,200,400,Africana_3,Africa,2.0,,200,400,https://pleiades.stoa.org/places/197110,45.956108,18.683919
69,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",LI,300,700,spatheia,Africa,2.0,,375,700,https://pleiades.stoa.org/places/197110,45.956108,18.683919
70,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",LI,300,700,LRA3,Anatolia,1.0,,375,600,https://pleiades.stoa.org/places/197110,45.956108,18.683919
71,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",LI,300,700,Almagro 50,Lusitania,1.0,,200,500,https://pleiades.stoa.org/places/197110,45.956108,18.683919
72,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",LR,-150,-1,Greco-Ital,Tyrrhenian Italy,1.0,,-350,-150,https://pleiades.stoa.org/places/197110,45.956108,18.683919
73,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",LR,-150,-1,Dr 1,Tyrrhenian Italy,4.0,,-150,-50,https://pleiades.stoa.org/places/197110,45.956108,18.683919
74,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",LR/EI,-100,50,Lamb.2,Adriatic Italy,46.0,,-200,-25,https://pleiades.stoa.org/places/197110,45.956108,18.683919
75,"Aquae Statiellae,  corso Cavour, Albergo Bue Rosso","Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
",LI,300,700,AfricanaIIIB,Africa,1.0,,275,400,https://pleiades.stoa.org/places/383574,44.675532,8.470658
76,"Aquae Statiellae,  corso Cavour, Albergo Bue Rosso","Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
",LR/EI,-100,50,Dr 6B,Adriatic Italy,1.0,,1,150,https://pleiades.stoa.org/places/383574,44.675532,8.470658
77,"Aquae Statiellae,  corso Cavour, Albergo Bue Rosso","Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,1.0,,-70,225,https://pleiades.stoa.org/places/383574,44.675532,8.470658
78,"Aquae Statiellae,  corso Cavour, Albergo Bue Rosso","Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
",LR/EI,-100,50,Lamb.2,Adriatic Italy,1.0,,-200,-25,https://pleiades.stoa.org/places/383574,44.675532,8.470658
79,"Aquae Statiellae,  corso Cavour, Albergo Bue Rosso","Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
",EI,1,200,Adriatic,Adriatic Italy,2.0,,1,200,https://pleiades.stoa.org/places/383574,44.675532,8.470658
80,"Aquae Statiellae,  corso Cavour, Albergo Bue Rosso","Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
",EI,1,200,Dr 2-4_2,Tarraconesis,1.0,,-25,200,https://pleiades.stoa.org/places/383574,44.675532,8.470658
