Site;Publication;Period;Lower_ context_date;Upper_context_date;Amphora_type;Provenance;Frequency;Notes;Amphora type lower date;Amphora type upper date
Alba Libarna;"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.";EI;1;200;Dr 20;Baetica;60;I-II AD,;1;300
Alba Libarna;"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.";EI;1;200;Gauloise 2, 3, 5;Gaul;61;I-II AD,;-40;125
Alba Libarna;"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.";EI;1;200;collo ad imbuto;Adriatic Italy;71;I-II AD,;1;250
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Africana I;Africa;12;;150;400
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Aegean;Aegean;3;;1;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;orlo ad anello;Gaul;11;;1;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;MR18/Dr 24;Pergamon;3;;1;300
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Agora F65-66;Anatolia;1;;-50;400
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;AC1;Crete;3;;1;350
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 43;Crete;4;;1;250
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Camulodunum 184;Rhodes;57;;-25;150
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Gauloise;Gaul;40;;-30;300
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 7-11;Gaul;8;;-30;96
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Gauloise 5;Gaul;10;;50;125
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Gauloise 4;Gaul;5;;50;300
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;orlo a doppia inflessione esterna;unknown;13;;1;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 20;Baetica;61;;1;300
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 7-11 ;Baetica;50;;-30;96
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Haltern 70;Baetica;1;;-80;192
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 2-5 ;unknown;33;;-100;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 2-5 ;Aegean;113;;-100;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 2-5 ;Gaul;16;;-30;100
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 2-5 ;Spain;43;;-25;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 2-5 ;Tyrrhenian Italy;15;;-70;225
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Forlimpopoli;Adriatic Italy;18;;-25;300
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;per olive;unknown;2;;1;200
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 6A/6B;Adriatic Italy;144;;-25;150
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;collo ad imbuto;Adriatic Italy;73;;1;250
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 6B;Adriatic Italy;149;;1;150
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";EI;1;200;Dr 6A;Adriatic Italy;35;;-25;50
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";LR;-150;-1;Dr 1;Tyrrhenian Italy;5;;-150;-50
Alba Pompeia;"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.";LR/EI;-100;50;Lamb.2;Adriatic Italy;2;;-200;-25
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 6A;Adriatic Italy;175;;-25;50
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 2-4;Tyrrhenian Italy;31;;-70;225
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Rhodian? ;Aegean?;8;;-25;150
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Camulodunum 184;Aegean;17;;-25;150
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 43;Aegean;23;;1;250
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Aegean;Aegean;3;;1;200
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Agora G199/Schoene-Mau 27/28;Cyprus/Cilicia;2;;79;310
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Gauloise 4;Gaul;1;;50;300
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Adriatic;Adriatic Italy;62;;100;200
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Forlimpopoli;Adriatic Italy;16;;-25;300
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 6B;Adriatic Italy;197;;1;150
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 7-11;Baetica;14;;-30;96
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 20;Baetica;1;;1;300
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Dr 25;S Italy/Eastern Mediterranean;9;;-25;100
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;collo ad imbuto;Adriatic Italy;9;;1;250
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Brindisi;Adriatic Italy;8;;-125;-25
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;North-Italian;North-Italy;1;;1;200
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI;1;200;Schörgendorfer 558;N Adriatic Italy;3;;1;200
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;EI/LI;200;400;Africana ;Africa;2;;200;400
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;LI;300;700;spatheia;Africa;2;;375;700
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;LI;300;700;LRA3;Anatolia;1;;375;600
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;LI;300;700;Almagro 50;Lusitania;1;;200;500
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;LR;-150;-1;Greco-Ital;Tyrrhenian Italy;1;;-350;-150
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;LR;-150;-1;Dr 1;Tyrrhenian Italy;4;;-150;-50
Altinum;Toniolo A. 1991: Le anfore di Altino, Padova.;LR/EI;-100;50;Lamb.2;Adriatic Italy;46;;-200;-25
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LI;300;700;Africana IIIB;Africa;1;;150;400
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR/EI;-100;50;Dr 6B;Adriatic Italy;1;;1;150
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 2-4;Tyrrhenian Italy;1;;-70;225
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR/EI;-100;50;Lamb.2;Adriatic Italy;1;;-200;-25
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Adriatic;Adriatic Italy;2;;1;200
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 2-3;Tarraconesis;1;;-25;200
Aquae Statiellae,  corso Cavour, Albergo Bue Rosso;"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 20;Baetica;2;;1;300
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 2-4;Tyrrhenian Italy;1;;-70;225
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR;-150;-1;Dr 1;Tyrrhenian Italy;1;;-150;-50
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR;-150;-1;Dr 1B/C;Tyrrhenian Italy;1;;-150;-50
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR;-150;-1;Brindisi;Adriatic Italy;2;;-125;-25
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR/EI;-100;50;Lamb.2;Adriatic Italy;4;;-200;-25
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR/EI;-100;50;Lamb.2/Dr 6A;Adriatic Italy;8;;-200;50
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";LR/EI;-100;50;Dr 6A;Adriatic Italy;1;;-25;50
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Italian;Adriatic Italy;1;;1;200
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 2-4;Gaul;2;;-30;100
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Gauloise 2/7/8/9;Gaul;1;;-40;27
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 7-11;Gaul;14;;-30;96
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Gauloise;Gaul;4;;1;200
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 7-13;Baetica;2;;-30;150
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 2-4;Baetica;2;;1;125
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Dr 20;Baetica;1;;1;300
"Aquae Statiellae,  VIA AURELIANO
GALEAZZO, corso Cavour";"Secchi L., Le anfore da trasporto, in.  A. Bacchetta, M. Venturino ed.  
LA CITTÀ RITROVATA. Il foro di Aquae Statiellae e il suo quartiere, Acqui Terme 2017, p. 107 - 123.
";EI;1;200;Baetican;Baetica;2;;1;200
