,Unnamed: 0,Site,Publication,Period,Lower_ context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude,site,Grouped_sites,Site_type,Site_notes,Amphora_type_main,amphora_type,problems,content,Amphora_type_notes
10,10,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 7-13,Baetica,35.0,"I-II AD,",-30,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 7-13,Dr 7-13,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
11,11,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,10.0,"I-II AD,",-70,225,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
12,12,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4,Aegean,23.0,"I-II AD,",-100,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
13,13,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_2,Spain,30.0,"I-II AD,",-25,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
14,14,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_7,unknown,102.0,"I-II AD,",1,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
15,15,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Camulodunum 184/Dr 43,Aegean,44.0,"I-II AD,",-25,250,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Camulodunum 184/Dr 43,Camulodunum 184/Dr 43,,wine,
16,16,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Aegean/Oriental,Aegean/Oriental,19.0,"I-II AD,",1,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Aegean/Oriental,Aegean/Oriental,,unknown,
17,17,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Forlimpopoli,Adriatic Italy,21.0,"I-II AD,",-25,300,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Forlimpopoli,Forlimpopoli,,wine,"garum suggested for the type A and D, but unconfirmed"
18,18,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 20,Baetica,60.0,"I-II AD,",1,300,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,Dr 20,Dr 20,,olive oil,
19,19,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,"Gauloise 2, 3, 5",Gaul,61.0,"I-II AD,",-40,125,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,"Gauloise 2, 3, 5","Gauloise 2, 3, 5",,wine,
20,20,Alba Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,collo ad imbuto,Adriatic Italy,71.0,"I-II AD,",1,250,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Alba Libarna,Libarna,urban,,collo ad imbuto,collo ad imbuto,,unknown,
21,21,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,AfricanaI,Africa,12.0,,150,400,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,AfricanaI,AfricanaI,,olive oil,
22,22,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Aegean,Aegean,3.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Aegean,Aegean,,unknown,
23,23,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,orlo ad anello,Gaul,11.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,orlo ad anello,orlo ad anello,,unknown,
24,24,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,MR18/Dr 24,Pergamon,3.0,,1,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,MR18/Dr 24,MR18/Dr 24,,olive oil,
25,25,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Agora F65-66,Anatolia,1.0,,-50,400,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Agora F65-66,Agora F65-66,,wine,"Panell, Rizzo 2014, 390"
26,26,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,AC1,Crete,3.0,,1,350,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,AC1,AC1,,wine,
27,27,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 43_1,Crete,4.0,,1,250,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 43,Dr 43,,wine,
28,28,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Camulodunum 184,Rhodes,57.0,,-25,150,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Camulodunum 184,Camulodunum 184,in a few cases the provenance of this amphora given in the sonata ABM spreadshit is Rhodes - it should always be Aegean for the consistency,wine,
29,29,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Gauloise,Gaul,40.0,,-30,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Gauloise,Gauloise,,wine,
30,30,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 7-11,Gaul,8.0,,-30,96,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 7-11,Dr 7-11,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
31,31,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Gauloise 5,Gaul,10.0,,50,125,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Gauloise 5,Gauloise 5,,wine,
32,32,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Gauloise 4,Gaul,5.0,,50,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Gauloise 4,Gauloise 4,,wine,
33,33,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,orlo a doppia inflessione esterna,unknown,13.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,orlo a doppia inflessione esterna,orlo a doppia inflessione esterna,,unknown,
34,34,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 20,Baetica,61.0,,1,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 20,Dr 20,,olive oil,
35,35,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 7-11 ,Baetica,50.0,,-30,96,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 7-11,Dr 7-11,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
36,36,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Haltern 70,Baetica,1.0,,-80,192,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Haltern 70,Haltern 70,,defrutum,
37,37,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5 ,unknown,33.0,,-100,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 2-5,Dr 2-5,,wine,
38,38,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5 ,Aegean,113.0,,-100,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 2-5,Dr 2-5,,wine,
39,39,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5_2,Gaul,16.0,,-30,100,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 2-5,Dr 2-5,,wine,
40,40,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5_1,Spain,43.0,,-25,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 2-5,Dr 2-5,,wine,
41,41,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 2-5 ,Tyrrhenian Italy,15.0,,-70,225,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 2-5,Dr 2-5,,wine,
42,42,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Forlimpopoli,Adriatic Italy,18.0,,-25,300,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Forlimpopoli,Forlimpopoli,,wine,"garum suggested for the type A and D, but unconfirmed"
43,43,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,per olive,unknown,2.0,,1,200,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,per olive,per olive,,olive oil,
44,44,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 6A/6B,Adriatic Italy,144.0,,-25,150,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 6A/6B,Dr 6A/6B,,unknown,
45,45,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,collo ad imbuto,Adriatic Italy,73.0,,1,250,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,collo ad imbuto,collo ad imbuto,,unknown,
46,46,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 6B,Adriatic Italy,149.0,,1,150,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 6B,Dr 6B,,olive oil,
47,47,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1,200,Dr 6A,Adriatic Italy,35.0,,-25,50,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 6A,Dr 6A,,wine,
48,48,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",LR,-150,-1,Dr 1,Tyrrhenian Italy,5.0,,-150,-50,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Dr 1,Dr 1,,wine,
49,49,Alba Pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",LR/EI,-100,50,Lamb.2,Adriatic Italy,2.0,,-200,-25,https://pleiades.stoa.org/places/383564,44.700835,8.035244,Alba Pompeia,Alba Pompeia,urban,,Lamb.2,Lamb.2,,wine,evidence from Marague des Giennes
50,50,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 6A,Adriatic Italy,175.0,,-25,50,https://pleiades.stoa.org/places/197110,45.956108,18.683919,Altinum,Altinum,urban,,Dr 6A,Dr 6A,,wine,
51,51,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,31.0,,-70,225,https://pleiades.stoa.org/places/197110,45.956108,18.683919,Altinum,Altinum,urban,,Dr 2-4,Dr 2-4,,wine,
52,52,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Rhodian? ,Aegean?,8.0,,-25,150,https://pleiades.stoa.org/places/197110,45.956108,18.683919,Altinum,Altinum,urban,,Rhodian? ,,,,
53,53,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Camulodunum 184,Aegean,17.0,,-25,150,https://pleiades.stoa.org/places/197110,45.956108,18.683919,Altinum,Altinum,urban,,Camulodunum 184,Camulodunum 184,in a few cases the provenance of this amphora given in the sonata ABM spreadshit is Rhodes - it should always be Aegean for the consistency,wine,
54,54,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Dr 43_1,Aegean,23.0,,1,250,https://pleiades.stoa.org/places/197110,45.956108,18.683919,Altinum,Altinum,urban,,Dr 43,Dr 43,,wine,
55,55,Altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1,200,Aegean,Aegean,3.0,,1,200,https://pleiades.stoa.org/places/197110,45.956108,18.683919,Altinum,Altinum,urban,,Aegean,Aegean,,unknown,
