,site_number,RAAD_type_number,RAAD_form,origin,contents,southampton_type_number,frequency,origin_h1,origin_h2,raad_type_start_date,raad_type_end_date,site_name_modern,site_name_acient,modern_country,roman_province,pleiades,dare,vici,lat,long,major_site_type,minor_site_type,site_start_date,site_end_date,quantification_method,quantification_abbreviation,total_assemblage_size,reference
38,9,126,dressel 245,germania switzerland,unknown,,30,germania,switzerland,14.0,50.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
39,9,129,dressel 1,italy,wine,61,3,italy,,-140.0,-15.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
40,9,135,dressel 24,italy,wine,78,60,italy,,-70.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
41,9,137,dressel 6a,italy adriatic,fish sauce,95,3,italy,adriatic,-25.0,50.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
42,9,138,dressel 6b,italy adriatic,olive oil,96,1,italy,adriatic,1.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
43,9,153,camulodunum 139,italy campania,wine,49,59,italy,campania,-50.0,100.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
44,9,158,richborough 527 augst 43,italy lipari,alum,199,36,italy,lipari,-50.0,200.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
45,9,166,africana i,north africa,olive oil,1,9,northafrica,,150.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
46,9,167,africana ii,north africa,olive oil,2,6,northafrica,,150.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
47,9,171,africana iiic keay 25,north africa,unknown,9,29,northafrica,,350.0,450.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
48,9,172,augst 15 dressel 30 keay 1a,north africa,wine,89,1,northafrica,,200.0,300.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
49,9,173,augst 63,north africa,olive oil,,9,northafrica,,50.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
50,9,175,dressel 30 keay 1b,north africa,wine,90,28,northafrica,,275.0,400.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
51,9,176,keay 36b,north africa,olive oil,139,1,northafrica,,375.0,500.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
52,9,178,maòa c vindonissa 592 cintas 312 pompei xl augst 61,north africa,fish sauce,219,15,northafrica,,1.0,125.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
53,9,180,spatheion 1 keay 26,north africa,olives,205,1,northafrica,,375.0,450.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
54,9,182,unknown,north africa,unknown,,25,northafrica,,,,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
55,9,186,tripolitania 1,north africa tripolitania,olive oil,212,3,northafrica,tripolitania,1.0,150.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
56,9,188,tripolitania 3,north africa tripolitania,olive oil,214,3,northafrica,tripolitania,100.0,400.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
57,9,190,mid roman amphora 1,north africa,wine,,5,northafrica,,50.0,350.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
58,9,191,oberaden 85 this is a carrot amph schˆne mau xv,north africa,fruit,,1,northafrica,,1.0,50.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
59,9,196,dressel 20,iberian peninsula guadalquivir,olive oil,81,1934,iberianpeninsula,guadalquivir,15.0,265.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
60,9,198,dressel 23,iberian peninsula guadalquivir,olive oil,84,95,iberianpeninsula,guadalquivir,260.0,550.0,augst,augusta raurica,switzerland,germania superior,177494.0,,,47.533512464,7.716279517,settlement military,colonia limitanei,-10,450,total sherds,total,5633,martinkilcher s 1987 die rˆmischen amphoren aus augst und kaiseraugst ein beitrag zur rˆmischen handels und kulturgeschichte vol i die sudspanischen lamphoren gruppe 1 forschungen in augst bd 71 augst martinkilcher s 1994 die rˆmi
